u,v,key,osmid,highway,oneway,length,geometry,name,area,width,lanes,bridge,tunnel,service
736582348,6284793928,0,"[671131544, 671131545, 671131543]",cycleway,False,1017.3770000000002,"LINESTRING (37.8037458 55.7149884, 37.803821 55.7149899, 37.8044414 55.7148335, 37.8048576 55.7147285, 37.8049378 55.7147177, 37.8054397 55.7146499, 37.806534 55.7143697, 37.807159 55.7142208, 37.807792 55.7140645, 37.8082211 55.713939, 37.808374 55.7138748, 37.8084826 55.7137978, 37.8085604 55.7137509, 37.8086838 55.7137419, 37.8088112 55.7137592, 37.8089333 55.7137517, 37.8092216 55.7136708, 37.809408 55.713624, 37.8096467 55.7135749, 37.8098667 55.7135084, 37.8101366 55.7134422, 37.8104353 55.7133694, 37.8107062 55.7133218, 37.8109771 55.7132939, 37.811278 55.7132132, 37.81159 55.7131435, 37.8119481 55.7130332, 37.8122511 55.7129327, 37.8126441 55.7128066, 37.8129928 55.7127068, 37.813438 55.7125799, 37.8137411 55.7124893, 37.814181 55.712348, 37.8142372 55.7123211, 37.8143714 55.7123028, 37.8145126 55.7122851, 37.8146651 55.7122656, 37.8152043 55.7121349, 37.815905 55.7119472, 37.8163932 55.7118002, 37.8169966 55.7116385, 37.8175405 55.7114565, 37.8176828 55.7114123, 37.8179374 55.7113333, 37.8181238 55.7112789, 37.8181848 55.7112685, 37.8182781 55.7112525, 37.8183444 55.7112549, 37.8184132 55.7112575)",,,,,,,
1207821582,2347280994,0,"[228654888, 38088060]",footway,False,310.343,"LINESTRING (37.8283287 55.7269159, 37.828503 55.7280652, 37.8285356 55.7282803, 37.8285778 55.7285362, 37.828698 55.7288692, 37.8288048 55.7291368, 37.8288523 55.7292755, 37.8289049 55.7296837)",,,,,,,
2347280994,1207821582,0,"[228654888, 38088060]",footway,False,310.34299999999996,"LINESTRING (37.8289049 55.7296837, 37.8288523 55.7292755, 37.8288048 55.7291368, 37.828698 55.7288692, 37.8285778 55.7285362, 37.8285356 55.7282803, 37.828503 55.7280652, 37.8283287 55.7269159)",,,,,,,
6284793928,736582348,0,"[671131544, 671131545, 671131543]",cycleway,False,1017.3769999999996,"LINESTRING (37.8184132 55.7112575, 37.8183444 55.7112549, 37.8182781 55.7112525, 37.8181848 55.7112685, 37.8181238 55.7112789, 37.8179374 55.7113333, 37.8176828 55.7114123, 37.8175405 55.7114565, 37.8169966 55.7116385, 37.8163932 55.7118002, 37.815905 55.7119472, 37.8152043 55.7121349, 37.8146651 55.7122656, 37.8145126 55.7122851, 37.8143714 55.7123028, 37.8142372 55.7123211, 37.814181 55.712348, 37.8137411 55.7124893, 37.813438 55.7125799, 37.8129928 55.7127068, 37.8126441 55.7128066, 37.8122511 55.7129327, 37.8119481 55.7130332, 37.81159 55.7131435, 37.811278 55.7132132, 37.8109771 55.7132939, 37.8107062 55.7133218, 37.8104353 55.7133694, 37.8101366 55.7134422, 37.8098667 55.7135084, 37.8096467 55.7135749, 37.809408 55.713624, 37.8092216 55.7136708, 37.8089333 55.7137517, 37.8088112 55.7137592, 37.8086838 55.7137419, 37.8085604 55.7137509, 37.8084826 55.7137978, 37.808374 55.7138748, 37.8082211 55.713939, 37.807792 55.7140645, 37.807159 55.7142208, 37.806534 55.7143697, 37.8054397 55.7146499, 37.8049378 55.7147177, 37.8048576 55.7147285, 37.8044414 55.7148335, 37.803821 55.7149899, 37.8037458 55.7149884)",,,,,,,
36163016,582944924,0,"[48743648, 297721888, 48287363, 635309425, 635311827, 635311829, 785769273, 297500411]",cycleway,False,713.008,"LINESTRING (37.5134724 55.8471074, 37.5139566 55.846901, 37.5143641 55.8467334, 37.5148862 55.84643, 37.5153755 55.8460152, 37.5155647 55.8457993, 37.5156083 55.8457089, 37.5155934 55.8455183, 37.5156498 55.8452351, 37.5157827 55.8450028, 37.516102 55.8447745, 37.5167832 55.8445519, 37.5170742 55.8444888, 37.5176103 55.8444171, 37.5177218 55.8443866, 37.5177977 55.8443237, 37.517432 55.8437947, 37.5173122 55.8436111, 37.517155 55.843383, 37.517061 55.8431805, 37.5170834 55.8429686, 37.5171847 55.8426635, 37.517032 55.8424682, 37.5166093 55.8422866, 37.5162708 55.8422263)",,,,,,,
68912009,1865232963,0,375415918,cycleway,False,10.027,"LINESTRING (37.8058241 55.788849, 37.8056848 55.7888043)",Измайловский проспект,,,,,,
181290957,1085608817,0,25007690,cycleway,False,1102.229,"LINESTRING (37.7544404 55.760286, 37.7544093 55.7603577, 37.7529598 55.7631051, 37.7519936 55.7649397, 37.7518854 55.7650974, 37.7517001 55.765241, 37.7508972 55.7657913, 37.7502657 55.766177, 37.7499827 55.766408, 37.7499078 55.7665533, 37.749817 55.7675412, 37.7496387 55.7689157, 37.7495761 55.7695922)",аллея Пролетарского Входа,,,,,,
221574908,4898379088,0,175956687,cycleway,False,7.921,"LINESTRING (37.8104979 55.7889176, 37.810623 55.7889063)",Измайловский проспект,,,,,,
253770484,253770670,0,53447624,cycleway,False,80.41,"LINESTRING (37.4273779 55.7681873, 37.4273789 55.7680686, 37.4274496 55.7679377, 37.4275178 55.7677715, 37.4275557 55.7676451, 37.4275792 55.7675479, 37.4275938 55.7674776)",,,,,,,
253770484,253770670,1,365893793,cycleway,False,4198.235999999999,"LINESTRING (37.4273779 55.7681873, 37.4251549 55.7691295, 37.4246746 55.7692916, 37.4242965 55.7694192, 37.4238684 55.7695246, 37.422934 55.7697146, 37.422478 55.7697779, 37.4218639 55.7698459, 37.4213097 55.7698743, 37.4208977 55.7698441, 37.4203496 55.7698013, 37.4199505 55.7697291, 37.4189922 55.769564, 37.4185385 55.7694734, 37.4184601 55.7694578, 37.4175503 55.7694964, 37.4172161 55.7695216, 37.416506 55.769575, 37.4158165 55.7695302, 37.4156952 55.7694975, 37.4154045 55.7694192, 37.4151727 55.769255, 37.4150183 55.7689267, 37.4149449 55.7688586, 37.4148699 55.7687592, 37.4145551 55.7686158, 37.4142032 55.7685142, 37.4140741 55.7684052, 37.4140304 55.7679748, 37.4140741 55.7675458, 37.4142715 55.7673913, 37.414456 55.7673205, 37.4146578 55.7672947, 37.4166682 55.7673041, 37.4180877 55.7674009, 37.419396 55.7674972, 37.4196993 55.7675541, 37.4199196 55.7676824, 37.4201409 55.7678888, 37.4204259 55.7681548, 37.4205866 55.7682421, 37.4206831 55.7682845, 37.4208493 55.7683166, 37.4210264 55.7683328, 37.4213526 55.7683087, 37.4215242 55.7681735, 37.4215242 55.768019, 37.4213697 55.7678741, 37.4211819 55.7677829, 37.4211255 55.7677487, 37.4202883 55.767446, 37.4194568 55.7671491, 37.4192071 55.7670932, 37.4188806 55.7670533, 37.418452 55.7670213, 37.4180148 55.7670295, 37.4171727 55.7669837, 37.4168894 55.7669084, 37.4166748 55.7667636, 37.4166319 55.7665318, 37.4166748 55.7663049, 37.4168464 55.7661359, 37.4169828 55.7660674, 37.4170868 55.7660152, 37.4174359 55.7659519, 37.4178764 55.7659814, 37.4185861 55.7663638, 37.4192497 55.7667636, 37.419748 55.7670239, 37.420536 55.7673394, 37.421371 55.7676356, 37.4214564 55.7676662, 37.4215242 55.7676906, 37.4219105 55.7677293, 37.4222538 55.7676906, 37.4225825 55.7675777, 37.4231979 55.7671499, 37.4233229 55.7669764, 37.4232884 55.766257, 37.4232321 55.7661424, 37.4231368 55.7660476, 37.4229115 55.7659719, 37.4226658 55.7659814, 37.4224889 55.7660145, 37.4223396 55.7660876, 37.4223032 55.7661678, 37.4223061 55.7662507, 37.4223576 55.7664004, 37.4226267 55.7666002, 37.4227401 55.7666988, 37.4228077 55.7668108, 37.422804 55.7668994, 37.4227887 55.7669902, 37.4227174 55.7671023, 37.4226156 55.7671993, 37.4224557 55.7673144, 37.4222191 55.7673955, 37.4218418 55.7674637, 37.4216807 55.767464, 37.4216119 55.7674533, 37.4215242 55.7674396, 37.4214108 55.767384, 37.4213302 55.7673131, 37.4212667 55.7671402, 37.4213201 55.7669342, 37.4213017 55.7667313, 37.4212334 55.7665778, 37.4210951 55.7663676, 37.4209829 55.7662714, 37.4208157 55.7661622, 37.420521 55.7660466, 37.4190351 55.7657399, 37.4186661 55.7656289, 37.4183742 55.7654212, 37.4182863 55.7652935, 37.4182421 55.7651617, 37.4182451 55.7650338, 37.4182884 55.7649046, 37.4183914 55.7646486, 37.418559 55.7644269, 37.4186346 55.7643729, 37.4186543 55.7643689, 37.4187519 55.7643492, 37.4188902 55.7643486, 37.4190218 55.7643917, 37.4190842 55.7644756, 37.4190952 55.7645665, 37.4190094 55.7647356, 37.4189064 55.7649528, 37.4189455 55.7650561, 37.4190888 55.7651587, 37.4206659 55.7656229, 37.421226 55.7657341, 37.4214995 55.7657663, 37.4219791 55.7657979, 37.4223532 55.765792, 37.4225971 55.7657882, 37.423113 55.7657576, 37.4234125 55.7657399, 37.4243137 55.7656289, 37.4248287 55.7655564, 37.4253866 55.7655564, 37.4259445 55.7656916, 37.4263307 55.7658558, 37.4267549 55.7660277, 37.4272841 55.766258, 37.4274453 55.7663318, 37.4276144 55.7664295, 37.4277362 55.7665372, 37.4278289 55.7666713, 37.4278499 55.7668094, 37.4277899 55.7669809, 37.4276439 55.7671643, 37.4275416 55.7673701, 37.4275646 55.7674477, 37.4275938 55.7674776)",Велотрасса на Крылатских холмах,,,,,,
