y,x,osmid,highway,geometry
41.8833382,12.4764057,247287658,,POINT (12.4764057 41.8833382)
41.8852149,12.4786857,247287659,,POINT (12.4786857 41.8852149)
41.8857929,12.4792694,247287660,,POINT (12.4792694 41.8857929)
41.8863447,12.4797551,247287661,,POINT (12.4797551 41.8863447)
41.8873314,12.480262,247287662,,POINT (12.480262 41.8873314)
41.8766453,12.5260149,301673748,,POINT (12.5260149 41.8766453)
41.8755201,12.5275969,301674275,traffic_signals,POINT (12.5275969 41.8755201)
41.875243,12.5280084,301674916,,POINT (12.5280084 41.875243)
41.8743928,12.5292469,301675840,,POINT (12.5292469 41.8743928)
41.874178,12.5295714,301680969,crossing,POINT (12.5295714 41.874178)
41.87484,12.5285856,302177698,,POINT (12.5285856 41.87484)
41.8754069,12.5277617,302177708,,POINT (12.5277617 41.8754069)
41.8762542,12.5265474,302178164,,POINT (12.5265474 41.8762542)
41.8828846,12.4757915,462618016,,POINT (12.4757915 41.8828846)
41.8869084,12.4800965,497353741,,POINT (12.4800965 41.8869084)
41.8844765,12.4777572,497353745,,POINT (12.4777572 41.8844765)
41.8877526,12.4803713,667984647,traffic_signals,POINT (12.4803713 41.8877526)
41.875826,12.5271591,801182863,,POINT (12.5271591 41.875826)
41.8875916,12.4803421,878676158,,POINT (12.4803421 41.8875916)
41.8866014,12.4799259,924684057,,POINT (12.4799259 41.8866014)
41.8855063,12.479016,924684060,,POINT (12.479016 41.8855063)
41.8765668,12.5261224,1275173424,traffic_signals,POINT (12.5261224 41.8765668)
41.8762364,12.5265716,1275173924,,POINT (12.5265716 41.8762364)
41.8751917,12.5280819,1546283183,traffic_signals,POINT (12.5280819 41.8751917)
41.8765895,12.5260913,1817786073,crossing,POINT (12.5260913 41.8765895)
41.8766064,12.5260681,2746637417,,POINT (12.5260681 41.8766064)
41.8749135,12.5284803,5834922176,crossing,POINT (12.5284803 41.8749135)
41.8761569,12.5266854,6547062098,crossing,POINT (12.5266854 41.8761569)
41.8871174,12.480182,6875008804,,POINT (12.480182 41.8871174)
41.887459,12.4803048,6875008805,,POINT (12.4803048 41.887459)
41.8873942,12.4802841,6875008806,,POINT (12.4802841 41.8873942)
41.8872234,12.4802227,6875008807,,POINT (12.4802227 41.8872234)
41.8760518,12.5268358,7117578572,,POINT (12.5268358 41.8760518)
41.8783929,12.4684946,251888369,,POINT (12.4684946 41.8783929)
41.8793789,12.4690944,251888370,,POINT (12.4690944 41.8793789)
41.8804781,12.4698978,251888373,,POINT (12.4698978 41.8804781)
41.8810452,12.4704719,251888375,,POINT (12.4704719 41.8810452)
41.8791631,12.4689401,305848804,,POINT (12.4689401 41.8791631)
41.8808563,12.4702439,394283950,,POINT (12.4702439 41.8808563)
41.8806675,12.4700534,1001102948,,POINT (12.4700534 41.8806675)
41.8811621,12.4706142,4412506112,,POINT (12.4706142 41.8811621)
41.8787842,12.4687058,7263774557,,POINT (12.4687058 41.8787842)
41.8789815,12.4688219,7263774558,,POINT (12.4688219 41.8789815)
41.8673351,12.4844086,130216139,,POINT (12.4844086 41.8673351)
41.8671411,12.4844107,130217140,,POINT (12.4844107 41.8671411)
41.8817653,12.4993958,246259984,crossing,POINT (12.4993958 41.8817653)
41.8800584,12.4962804,246633881,,POINT (12.4962804 41.8800584)
41.8830128,12.4756866,251885755,,POINT (12.4756866 41.8830128)
41.8829716,12.4757364,251885756,,POINT (12.4757364 41.8829716)
41.8728744,12.49688,254306971,crossing,POINT (12.49688 41.8728744)
