u,v,key,osmid,oneway,name,highway,length,geometry,bridge,maxspeed,access,junction,lanes,tunnel,width,service
1571763960,1571764066,0,143623364,True,מנשה בן ישראל,residential,272.243,"LINESTRING (34.7780577 32.0568595, 34.7778994 32.0561692, 34.7777869 32.0556849, 34.7777702 32.0556124, 34.7776245 32.05498, 34.7775038 32.0544566)",,,,,,,,
35288618,354567804,0,212770528,True,שדרות נורדאו,tertiary,18.205000000000002,"LINESTRING (34.7828736 32.0916012, 34.7829536 32.0916109, 34.7830373 32.0916745)",,,,,,,,
290612973,1224771130,0,228774302,True,שדרות נורדאו,tertiary,14.437999999999999,"LINESTRING (34.7733032 32.0927712, 34.773328 32.0927059, 34.7733634 32.0926525)",,,,,,,,
331214993,2072034655,0,228774297,False,,cycleway,5.054,"LINESTRING (34.7828891 32.0916781, 34.7828359 32.091684)",,,,,,,,
340378133,340382391,0,"[104702326, 104702331, 30780582]",False,,cycleway,859.9739999999999,"LINESTRING (34.7931963 32.0980593, 34.7929237 32.0979912, 34.7918204 32.0977864, 34.7903956 32.0974446, 34.7894715 32.0973467, 34.7885766 32.097252, 34.788267 32.0972192, 34.788219 32.0972118, 34.7881255 32.0971974, 34.7871485 32.0970461, 34.7864791 32.0969424, 34.7863358 32.0969211, 34.7842097 32.0968779)",yes,,,,,,,
340378133,1140752838,0,"[104702332, 33636757]",False,,path,163.10399999999998,"LINESTRING (34.7931963 32.0980593, 34.7932348 32.0980295, 34.7932724 32.0980005, 34.7933781 32.0979768, 34.7934482 32.0979568, 34.7939172 32.0980295, 34.7939321 32.0980357, 34.7942462 32.0981663, 34.7948148 32.0983336)",,,,,,,,
340378133,340382462,0,33636757,False,,path,163.737,"LINESTRING (34.7931963 32.0980593, 34.7932369 32.0983787, 34.7931678 32.0988618, 34.7931855 32.0991063, 34.7930714 32.0995147)",,,,,,,,
340382284,4755318730,0,482733906,False,,path,8.643,"LINESTRING (34.7831602 32.0984969, 34.783243 32.0984634)",,,,,,,,
340382284,1734055659,0,161433884,False,,path,406.97,"LINESTRING (34.7831602 32.0984969, 34.7831575 32.0985199, 34.7830978 32.0986353, 34.7830781 32.0987186, 34.7829346 32.0990094, 34.782876 32.0990228, 34.7817194 32.1009315, 34.781504 32.1013953, 34.7815002 32.1016323, 34.7815736 32.1017995)",,,,,,,,
340382284,1140340987,0,482733906,False,,path,499.99000000000007,"LINESTRING (34.7831602 32.0984969, 34.7826527 32.0984633, 34.7825668 32.0984478, 34.7824247 32.0984264, 34.7822859 32.0983919, 34.7820916 32.0983408, 34.7818737 32.0982892, 34.7817339 32.0982804, 34.7815742 32.0982794, 34.7814345 32.0982903, 34.7812861 32.0983084, 34.7811943 32.0983133, 34.7810761 32.0983185, 34.7809105 32.0983181, 34.7807468 32.0983075, 34.7804917 32.09828, 34.7803319 32.0982784, 34.7801146 32.0982772, 34.7800618 32.0982485, 34.78005 32.098155, 34.7799579 32.0980509, 34.7798035 32.0979843, 34.7797202 32.0979314, 34.7796893 32.0978473, 34.7797155 32.0967232, 34.7797193 32.0965606)",,,,,,,,
340382391,358520930,0,30780562,False,,cycleway,173.91899999999998,"LINESTRING (34.7842097 32.0968779, 34.7841079 32.0975618, 34.784042 32.0979407, 34.7838947 32.0982604, 34.7837815 32.0983739)",,,,,,,,
340382391,1140340987,0,"[30780427, 30780562, 60954179]",False,,"['cycleway', 'path']",488.9079999999999,"LINESTRING (34.7842097 32.0968779, 34.7842268 32.0968124, 34.7835335 32.0967573, 34.7834974 32.0966626, 34.7834274 32.0966096, 34.7833213 32.096556, 34.7830711 32.0965552, 34.7830539 32.0968553, 34.7819958 32.0968492, 34.7819614 32.0967445, 34.7819066 32.0966855, 34.78181 32.096656, 34.7816121 32.0966365, 34.7812555 32.0966528, 34.7810667 32.0966503, 34.7807505 32.0966233, 34.7805666 32.0966046, 34.7798295 32.0965686, 34.7797193 32.0965606)",,,,,,,,
340382391,340378133,0,"[104702331, 30780582, 104702326]",False,,cycleway,859.974,"LINESTRING (34.7842097 32.0968779, 34.7863358 32.0969211, 34.7864791 32.0969424, 34.7871485 32.0970461, 34.7881255 32.0971974, 34.788219 32.0972118, 34.788267 32.0972192, 34.7885766 32.097252, 34.7894715 32.0973467, 34.7903956 32.0974446, 34.7918204 32.0977864, 34.7929237 32.0979912, 34.7931963 32.0980593)",yes,,,,,,,
340382462,340378133,0,33636757,False,,path,163.737,"LINESTRING (34.7930714 32.0995147, 34.7931855 32.0991063, 34.7931678 32.0988618, 34.7932369 32.0983787, 34.7931963 32.0980593)",,,,,,,,
340382462,5081770929,0,37557967,False,,cycleway,19.626,"LINESTRING (34.7930714 32.0995147, 34.7931769 32.0995848, 34.793214 32.0996393)",,,,,,,,
340382462,358520930,0,"[30780562, 30780583]",False,,cycleway,889.963,"LINESTRING (34.7930714 32.0995147, 34.7924119 32.0993763, 34.7918816 32.0992225, 34.7917939 32.0992177, 34.7916478 32.0992093, 34.790122 32.0989218, 34.7893595 32.0987902, 34.7890368 32.0987506, 34.7889777 32.0987459, 34.7847889 32.0985355, 34.783978 32.0984875, 34.7837815 32.0983739)",,,,,,,,
344929187,2692265005,0,490956683,False,שביל בן גוריון,cycleway,186.594,"LINESTRING (34.7762866 32.0835425, 34.7763312 32.0835347, 34.7779136 32.0826582, 34.7779402 32.082628)",,,,,,,,
344929187,454131362,0,"[30146042, 490956683]",False,שביל בן גוריון,cycleway,626.5749999999998,"LINESTRING (34.7762866 32.0835425, 34.775822 32.083797, 34.7752491 32.0840691, 34.7748207 32.0842484, 34.7743388 32.0843745, 34.7742584 32.0843995, 34.7736193 32.0845799, 34.7724832 32.0848932, 34.7724005 32.0849107, 34.7709448 32.0853029, 34.7704762 32.0854291, 34.7702075 32.0855015, 34.770095 32.0855318)",yes,,,,,,,
344929187,6433801096,0,30742222,True,אדם הכהן,residential,82.979,"LINESTRING (34.7762866 32.0835425, 34.7763093 32.0835902, 34.7766437 32.0841031, 34.7767058 32.0841984)",,30,,,,,,
358520930,340382462,0,"[30780562, 30780583]",False,,cycleway,889.9630000000001,"LINESTRING (34.7837815 32.0983739, 34.783978 32.0984875, 34.7847889 32.0985355, 34.7889777 32.0987459, 34.7890368 32.0987506, 34.7893595 32.0987902, 34.790122 32.0989218, 34.7916478 32.0992093, 34.7917939 32.0992177, 34.7918816 32.0992225, 34.7924119 32.0993763, 34.7930714 32.0995147)",,,,,,,,
358520930,340382391,0,30780562,False,,cycleway,173.919,"LINESTRING (34.7837815 32.0983739, 34.7838947 32.0982604, 34.784042 32.0979407, 34.7841079 32.0975618, 34.7842097 32.0968779)",,,,,,,,
358520930,4755318730,0,263615938,False,,cycleway,56.744,"LINESTRING (34.7837815 32.0983739, 34.7837393 32.0984215, 34.783708 32.0984568, 34.7834774 32.0985104, 34.7833304 32.0984798, 34.783243 32.0984634)",,,,,,,,
